GeneMark.hmm PROKARYOTIC (Version 3.20)
Date: Sat Jun 20 16:08:48 2020
Sequence file name: sequence
Model file name: itr_2.mod
RBS: true
Model information: GeneMarkS_default_gcode_1

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +          <2        1132         1131        1
    2        +        1763        3220         1458        1
    3        +        3635        4423          789        1
    4        +        4929        6011         1083        1
    5        +        6398        7396          999        1
    6        +        7788        8768          981        1
    7        +        9179       10930         1752        1
    8        +       11157       12440         1284        1
    9        +       13199       15184         1986        1
   10        +       15675       18197         2523        1
   11        +       18622       19932         1311        1
   12        +       20442       21134          693        1
   13        +       21860       23518         1659        1
   14        +       24488       26251         1764        1
   15        +       26777       28267         1491        1
   16        +       28861       29637          777        1
   17        +       30163       30477          315        1
   18        +       31716       33230         1515        1
   19        +       33630       34646         1017        1
   20        +       35234       35614          381        1
   21        +       37236       38978         1743        1
   22        +       39543       40355          813        1
   23        +       40718       42064         1347        1
   24        +       42809       44056         1248        1
   25        +       45041       47386         2346        1
   26        +       47826       49349         1524        1
   27        +       50256       51281         1026        1
   28        +       52427       54232         1806        1
   29        +       55393       57096         1704        1
   30        +       58562       60334         1773        1
   31        +       60680       61204          525        1
   32        +       62556       65111         2556        1
   33        +       66555       68624         2070        1
   34        +       69390       75377         5988        1
   35        +       75872       76723          852        1
   36        +       77496       78425          930        1
   37        +       78925       79815          891        1
   38        +       80655       81029          375        1
   39        +       81754       84150         2397        1
   40        +      <84439       89313         4875        1
   41        +       90074       92608         2535        1
   42        +       93515       96064         2550        1
   43        +       96461       97009          549        1
   44        +       97615       98757         1143        1
   45        +       99593      100213          621        1
   46        +      100671      101780         1110        1
   47        +      102379      103104          726        1
   48        +      104003      108169         4167        1
   49        +      108549      110636         2088        1
   50        +      110911      111741          831        1
   51        +      112096      112941          846        1
   52        +      113699      115120         1422        1
   53        +      116139      117515         1377        1
   54        +      118236      119837         1602        1
   55        +      120635      122437         1803        1
   56        +      122913      123707          795        1
   57        +      124049      125035          987        1
   58        +      125675      126469          795        1
   59        +      126885      128996         2112        1
   60        +     <129191      130195         1005        1
   61        +      130842      136277         5436        1
   62        +      136608      138641         2034        1
   63        +      139795      141438         1644        1
   64        +      141556      145380         3825        1
   65        +      145689      146948         1260        1
   66        +      147427      149199         1773        1
   67        +      149714      150139          426        1
   68        +      151687      152805         1119        1
   69        +      153990      156077         2088        1
   70        +      156479      157840         1362        1
   71        +      158320      158997          678        1
   72        +      160467      162233         1767        1
   73        +      162926      164458         1533        1
   74        +      164974      165462          489        1
   75        +      168093      170921         2829        1
   76        +      171503      172414          912        1
   77        +     <172801      174429         1629        1
   78        +      174656      175339          684        1
   79        +      176220      177413         1194        1
   80        +      178018      181989         3972        1
   81        +      182327      183097          771        1
   82        +      183589      187302         3714        1
   83        +      188674      190116         1443        1
   84        +      190773      191273          501        1
   85        +      191816      194389         2574        1
   86        +      194995      197556         2562        1
   87        +      197698      199308         1611        1
   88        +      202611      204431         1821        1
   89        +      205387      206280          894        1
   90        +      207005      209209         2205        1
   91        +      210221      211210          990        1
   92        +      211519      212058          540        1
   93        +      213055      214989         1935        1
   94        +      215782      216705          924        1
   95        +      217305      219839         2535        1
   96        +      220857      221660          804        1
   97        +     <222277      222564          288        1
   98        +      223898      227128         3231        1
   99        +     <227408      228223          816        1
  100        +      228891      229313          423        1
  101        +      232445      233869         1425        1
  102        +      234212      235270         1059        1
  103        +      235454      245137         9684        1
  104        +      245586      246803         1218        1
  105        +      247598      249733         2136        1
  106        +      250585      254586         4002        1
  107        +      255245      255640          396        1
  108        +      256795      259581         2787        1
  109        +      259795      260373          579        1
  110        +      261411      262640         1230        1
  111        +      263387      264505         1119        1
  112        +      265342      265689          348        1
  113        +      266358      267323          966        1
  114        +      267929      270862         2934        1
  115        +      271142      274237         3096        1
  116        +      274512      276164         1653        1
  117        +      278449      279519         1071        1
  118        +      279869      283204         3336        1
  119        +      283541      284770         1230        1
  120        +      284996      285811          816        1
  121        +     <286449      287957         1509        1
  122        +      288494      289561         1068        1
  123        +      289902      290312          411        1
  124        +      292040      293506         1467        1
  125        +      293838      294449          612        1
  126        +      295074      296744         1671        1
  127        +      297877      300786         2910        1
  128        +      303664      304116          453        1
  129        +      305134      305841          708        1
  130        +      306083      307123         1041        1
  131        +      308307      309659         1353        1
  132        +      310102      312012         1911        1
  133        +      312769      313212          444        1
  134        +      313806      315101         1296        1
  135        +      315608      318898         3291        1
  136        +      321800      323434         1635        1
  137        +      323935      327534         3600        1
  138        +      328439      332749         4311        1
  139        +      333000      334175         1176        1
  140        +      334615      335793         1179        1
  141        +      336521      339997         3477        1
  142        +      340546      341736         1191        1
  143        +      342896      345754         2859        1
  144        +      347022      349160         2139        1
  145        +      349629      350735         1107        1
  146        +      351328      352683         1356        1
  147        +      353582      354433          852        1
  148        +      355162      356991         1830        1
  149        +      357560      359545         1986        1
  150        +      359965      360975         1011        1
  151        +     <361142      362656         1515        1
  152        +      363462      366017         2556        1
  153        +      366826      368766         1941        1
  154        +      369997      370452          456        1
  155        +      371873      374452         2580        1
  156        +      374906      376756         1851        1
  157        +      377113      379242         2130        1
  158        +      382103      383263         1161        1
  159        +      384115      385113          999        1
  160        +      386627      387181          555        1
  161        +      387995      388888          894        1
  162        +      389275      389850          576        1
  163        +      390426      391085          660        1
  164        +      392331      393455         1125        1
  165        +      394467      395489         1023        1
  166        +     <395602      399597         3996        1
  167        +      400370      401224          855        1
  168        +      402191      403513         1323        1
  169        +     <403723      405795         2073        1
  170        +      406285      407709         1425        1
  171        +      408551      410410         1860        1
  172        +      412782      414794         2013        1
