GeneMark.hmm PROKARYOTIC (Version 3.20)
Date: Sat Jun 20 16:08:46 2020
Sequence file name: sequence
Model file name: /workspaces/pygmst/pygmst/genemark/MetaGeneMark_v1.mod
RBS: false

Model information: Heuristic_model_for_genetic_code_11_and_GC_37

FASTA definition line: empty-fasta-def-line
Predicted genes
   Gene    Strand    LeftEnd    RightEnd       Gene     Class
    #                                         Length
    1        +          <2        1132         1131        1
    2        +        1763        3220         1458        1
    3        +        3635        4423          789        1
    4        +        4965        6011         1047        1
    5        +        6398        7396          999        1
    6        +        7788        8768          981        1
    7        +        9179       10930         1752        1
    8        +       11157       12440         1284        1
    9        +      <13199       15184         1986        1
   10        +       15675       18197         2523        1
   11        +      <18610       19932         1323        1
   12        +       20442       21134          693        1
   13        +       21860       23518         1659        1
   14        +       24509       26251         1743        1
   15        +       26777       28267         1491        1
   16        +       28861       29637          777        1
   17        +       30163       30477          315        1
   18        +       31716       33230         1515        1
   19        +       33630       34646         1017        1
   20        +       35234       35614          381        1
   21        +       36842       37132          291        1
   22        +       37320       38978         1659        1
   23        +       39543       40355          813        1
   24        +       40718       42064         1347        1
   25        +       42809       44056         1248        1
   26        +       45041       47386         2346        1
   27        +       47862       49349         1488        1
   28        +       50256       51281         1026        1
   29        +       52352       54232         1881        1
   30        +       55405       57096         1692        1
   31        +       58589       60334         1746        1
   32        +       60653       61204          552        1
   33        +       62556       65111         2556        1
   34        +       66555       68624         2070        1
   35        +       69390       75377         5988        1
   36        +       75872       76723          852        1
   37        +       77496       78425          930        1
   38        +       78925       79815          891        1
   39        +       80329       80517          189        1
   40        +       80655       81029          375        1
   41        +       81754       84150         2397        1
   42        +      <84439       89313         4875        1
   43        +       90152       92608         2457        1
   44        +       93494       96064         2571        1
   45        +       96461       97009          549        1
   46        +       97615       98757         1143        1
   47        +       99593      100213          621        1
   48        +      100671      101780         1110        1
   49        +      102379      103104          726        1
   50        +      103895      108169         4275        1
   51        +      108549      110636         2088        1
   52        +      110911      111741          831        1
   53        +      112096      112941          846        1
   54        +      113699      115120         1422        1
   55        +      116139      117515         1377        1
   56        +      118236      119837         1602        1
   57        +      120632      122437         1806        1
   58        +      122913      123707          795        1
   59        +      124049      125035          987        1
   60        +      125675      126469          795        1
   61        +      126885      128996         2112        1
   62        +     <129191      130195         1005        1
   63        +      130842      136277         5436        1
   64        +      136608      138641         2034        1
   65        +      139795      141438         1644        1
   66        +      141724      145380         3657        1
   67        +      145689      146948         1260        1
   68        +      147427      149199         1773        1
   69        +      149714      150139          426        1
   70        +      151687      152805         1119        1
   71        +     <153192      153350          159        1
   72        +      153990      156077         2088        1
   73        +      156479      157840         1362        1
   74        +      158320      158997          678        1
   75        +      160467      162233         1767        1
   76        +      162926      164458         1533        1
   77        +      164974      165462          489        1
   78        +      165873      165977          105        2
   79        +      166271      166372          102        2
   80        +      167513      167680          168        2
   81        +      168093      170921         2829        1
   82        +      171503      172414          912        1
   83        +      172861      174429         1569        1
   84        +      174656      175339          684        1
   85        +      176217      177413         1197        1
   86        +      178018      181989         3972        1
   87        +      182312      183097          786        1
   88        +      183589      187302         3714        1
   89        +      188674      190116         1443        1
   90        +      190773      191273          501        1
   91        +      191816      194389         2574        1
   92        +      194995      197556         2562        1
   93        +      197698      199308         1611        1
   94        +      200336      200509          174        1
   95        +      202611      204431         1821        1
   96        +      205357      206280          924        1
   97        +     <206954      209209         2256        1
   98        +      210221      211210          990        1
   99        +     <211402      212058          657        1
  100        +      213055      214989         1935        1
  101        +      215782      216705          924        1
  102        +      217305      219839         2535        1
  103        +      220857      221660          804        1
  104        +     <222277      222564          288        1
  105        +      223898      227128         3231        1
  106        +     <227408      228223          816        1
  107        +      228891      229313          423        2
  108        +      229566      229748          183        2
  109        +      230046      230285          240        2
  110        +      232445      233869         1425        1
  111        +      234212      235270         1059        1
  112        +      235454      245137         9684        1
  113        +      245586      246803         1218        1
  114        +      247598      249733         2136        1
  115        +      250609      254586         3978        1
  116        +      255311      255640          330        1
  117        +      255801      256055          255        1
  118        +      256795      259581         2787        1
  119        +     <259780      260373          594        1
  120        +      261456      262640         1185        1
  121        +      263387      264505         1119        1
  122        +      265342      265689          348        1
  123        +      266358      267323          966        1
  124        +      267929      270862         2934        1
  125        +      271142      274237         3096        1
  126        +      274512      276164         1653        1
  127        +      276643      276897          255        1
  128        +      277030      277125           96        2
  129        +      277234      277551          318        2
  130        +      277872      278096          225        2
  131        +      278449      279519         1071        1
  132        +      279869      283204         3336        1
  133        +      283541      284770         1230        1
  134        +      284996      285811          816        1
  135        +     <286449      287957         1509        1
  136        +      288494      289561         1068        1
  137        +      289902      290312          411        1
  138        +      291094      291285          192        1
  139        +      292040      293506         1467        1
  140        +      293838      294449          612        1
  141        +      295074      296744         1671        1
  142        +      298360      300786         2427        1
  143        +      302520      302663          144        2
  144        +      302929      303054          126        2
  145        +      303664      304116          453        1
  146        +      305134      305841          708        1
  147        +      306206      307123          918        1
  148        +      308307      309659         1353        1
  149        +      310102      312012         1911        1
  150        +      312829      313212          384        1
  151        +      313806      315101         1296        1
  152        +      315608      318898         3291        1
  153        +      321800      323434         1635        1
  154        +      323935      327534         3600        1
  155        +      328439      332749         4311        1
  156        +      333000      334175         1176        1
  157        +      334615      335793         1179        1
  158        +      335830      335940          111        1
  159        +      336521      339997         3477        1
  160        +      340636      341736         1101        1
  161        +      342896      345754         2859        1
  162        +      347022      349160         2139        1
  163        +      349629      350735         1107        1
  164        +      351328      352683         1356        1
  165        +      353582      354433          852        1
  166        +      355162      356991         1830        1
  167        +      357560      359545         1986        1
  168        +     <359956      360975         1020        1
  169        +     <361142      362656         1515        1
  170        +      363462      366017         2556        1
